,id,ID,cycexp,G2_year,YOB,famfriends,cycling_test,walk_test,downtown_test,downtown_tor,turn_num,MV,PED,CYC,direction,control_type,failure
67,4,2006,A few times or less,1992,1976,Yes,Never,A few days a week,A few days a week,A few days a week,T13,1,1,1,Right,Signalized,No
68,4,2006,A few times or less,1992,1976,Yes,Never,A few days a week,A few days a week,A few days a week,T14,1,1,1,Right,Uncontrolled,No
69,4,2006,A few times or less,1992,1976,Yes,Never,A few days a week,A few days a week,A few days a week,T15,1,1,1,Right,Signalized,No
70,4,2006,A few times or less,1992,1976,Yes,Never,A few days a week,A few days a week,A few days a week,T16,1,1,1,Left,Uncontrolled,No
71,4,2006,A few times or less,1992,1976,Yes,Never,A few days a week,A few days a week,A few days a week,T17,1,1,1,Left,Signalized,No
72,4,2006,A few times or less,1992,1976,Yes,Never,A few days a week,A few days a week,A few days a week,T18,2,1,1,Left,Signalized,No
73,5,2007,A few times or less,2003,1980,No,Never,Never,A few times a year or less,A few days a month,T1,1,1,1,Right,Signalized,No
74,5,2007,A few times or less,2003,1980,No,Never,Never,A few times a year or less,A few days a month,T2,1.666666667,1,1,Left,Signalized,No
75,5,2007,A few times or less,2003,1980,No,Never,Never,A few times a year or less,A few days a month,T3,1,1,1,Right,Signalized,Yes
76,5,2007,A few times or less,2003,1980,No,Never,Never,A few times a year or less,A few days a month,T4,1,1,1,Right,Signalized,Yes
77,5,2007,A few times or less,2003,1980,No,Never,Never,A few times a year or less,A few days a month,T5,1,1,1,Left,Uncontrolled,Yes
78,5,2007,A few times or less,2003,1980,No,Never,Never,A few times a year or less,A few days a month,T6,1,1,1,Left,Signalized,No
79,5,2007,A few times or less,2003,1980,No,Never,Never,A few times a year or less,A few days a month,T7,1,1,1,Left,Uncontrolled,No
80,5,2007,A few times or less,2003,1980,No,Never,Never,A few times a year or less,A few days a month,T8,2.666666667,1,1,Right,Uncontrolled,Yes
81,5,2007,A few times or less,2003,1980,No,Never,Never,A few times a year or less,A few days a month,T9,1,1,1,Right,Uncontrolled,Yes
82,5,2007,A few times or less,2003,1980,No,Never,Never,A few times a year or less,A few days a month,T10,1,1,1,Right,Signalized,Yes
83,5,2007,A few times or less,2003,1980,No,Never,Never,A few times a year or less,A few days a month,T11,1,1,1,Right,Signalized,No
84,5,2007,A few times or less,2003,1980,No,Never,Never,A few times a year or less,A few days a month,T12,2,2,1,Left,Uncontrolled,No
85,5,2007,A few times or less,2003,1980,No,Never,Never,A few times a year or less,A few days a month,T13,1,1,1,Right,Signalized,No
86,5,2007,A few times or less,2003,1980,No,Never,Never,A few times a year or less,A few days a month,T14,1,1,1,Right,Uncontrolled,No
87,5,2007,A few times or less,2003,1980,No,Never,Never,A few times a year or less,A few days a month,T15,1.666666667,2,1,Right,Signalized,Yes
