"","id","ID","cycexp","G2_year","YOB","famfriends","cycling_test","walk_test","downtown_test","downtown_tor","turn_num","MV","PED","CYC"
"139",8,2010,"A few days a week",1996,1978,"Yes","A few days a week","A few days a month","A few days a month","A few days a week","T13",1,1.666666667,1
"140",8,2010,"A few days a week",1996,1978,"Yes","A few days a week","A few days a month","A few days a month","A few days a week","T14",1,1,1
"141",8,2010,"A few days a week",1996,1978,"Yes","A few days a week","A few days a month","A few days a month","A few days a week","T15",2.666666667,2.333333333,1
"142",8,2010,"A few days a week",1996,1978,"Yes","A few days a week","A few days a month","A few days a month","A few days a week","T16",1,1,1
"143",8,2010,"A few days a week",1996,1978,"Yes","A few days a week","A few days a month","A few days a month","A few days a week","T17",1,1,1
"144",8,2010,"A few days a week",1996,1978,"Yes","A few days a week","A few days a month","A few days a month","A few days a week","T18",2.333333333,1,1
"145",9,2011,"Never",1997,1974,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","T1",1.666666667,1,1
"146",9,2011,"Never",1997,1974,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","T2",1,1,1
"147",9,2011,"Never",1997,1974,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","T3",2,1,1
"148",9,2011,"Never",1997,1974,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","T4",1,1.666666667,1
"149",9,2011,"Never",1997,1974,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","T5",1,1,1
"150",9,2011,"Never",1997,1974,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","T6",1,1,1
"151",9,2011,"Never",1997,1974,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","T7",1,1,1
"152",9,2011,"Never",1997,1974,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","T8",2.333333333,2,1
"153",9,2011,"Never",1997,1974,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","T9",1,1,1
"154",9,2011,"Never",1997,1974,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","T10",2,1,1
"155",9,2011,"Never",1997,1974,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","T11",1,1,1
"156",9,2011,"Never",1997,1974,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","T12",1,1,1
"157",9,2011,"Never",1997,1974,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","T13",1,1,1
"158",9,2011,"Never",1997,1974,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","T14",1,1,1
"159",9,2011,"Never",1997,1974,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","T15",2,1,1
"160",9,2011,"Never",1997,1974,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","T16",1,1,1
"161",9,2011,"Never",1997,1974,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","T17",1,1,1
"162",9,2011,"Never",1997,1974,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","T18",2,1,1
"163",10,2012,"Every day or almost every day",1995,1979,"No","A few days a month","A few times a year or less","A few days a month","A few days a week","T1",1,1.666666667,1
"164",10,2012,"Every day or almost every day",1995,1979,"No","A few days a month","A few times a year or less","A few days a month","A few days a week","T2",2,3,1
"165",10,2012,"Every day or almost every day",1995,1979,"No","A few days a month","A few times a year or less","A few days a month","A few days a week","T3",1,1,1
"166",10,2012,"Every day or almost every day",1995,1979,"No","A few days a month","A few times a year or less","A few days a month","A few days a week","T4",1,1.333333333,1
"167",10,2012,"Every day or almost every day",1995,1979,"No","A few days a month","A few times a year or less","A few days a month","A few days a week","T5",1,1.666666667,1
"168",10,2012,"Every day or almost every day",1995,1979,"No","A few days a month","A few times a year or less","A few days a month","A few days a week","T6",1,1.666666667,1
"169",10,2012,"Every day or almost every day",1995,1979,"No","A few days a month","A few times a year or less","A few days a month","A few days a week","T7",2.333333333,1,1
"170",10,2012,"Every day or almost every day",1995,1979,"No","A few days a month","A few times a year or less","A few days a month","A few days a week","T8",1.333333333,1,1
"171",10,2012,"Every day or almost every day",1995,1979,"No","A few days a month","A few times a year or less","A few days a month","A few days a week","T9",1,1,1
"172",10,2012,"Every day or almost every day",1995,1979,"No","A few days a month","A few times a year or less","A few days a month","A few days a week","T10",1,1,1
"173",10,2012,"Every day or almost every day",1995,1979,"No","A few days a month","A few times a year or less","A few days a month","A few days a week","T11",1,1,1
"174",10,2012,"Every day or almost every day",1995,1979,"No","A few days a month","A few times a year or less","A few days a month","A few days a week","T12",1,1,1
"175",10,2012,"Every day or almost every day",1995,1979,"No","A few days a month","A few times a year or less","A few days a month","A few days a week","T13",1.666666667,1.333333333,1
"176",10,2012,"Every day or almost every day",1995,1979,"No","A few days a month","A few times a year or less","A few days a month","A few days a week","T14",1,1,1
"177",10,2012,"Every day or almost every day",1995,1979,"No","A few days a month","A few times a year or less","A few days a month","A few days a week","T15",1,1,1
"178",10,2012,"Every day or almost every day",1995,1979,"No","A few days a month","A few times a year or less","A few days a month","A few days a week","T16",1,1,1
"179",10,2012,"Every day or almost every day",1995,1979,"No","A few days a month","A few times a year or less","A few days a month","A few days a week","T17",1,1,1
"180",10,2012,"Every day or almost every day",1995,1979,"No","A few days a month","A few times a year or less","A few days a month","A few days a week","T18",2,1,1
"181",11,2013,"Never",2013,1981,"No","Never","A few days a month","A few days a week","A few days a week","T1",1,1,1
"182",11,2013,"Never",2013,1981,"No","Never","A few days a month","A few days a week","A few days a week","T2",2,1.333333333,1
"183",11,2013,"Never",2013,1981,"No","Never","A few days a month","A few days a week","A few days a week","T3",1.666666667,1,1
"184",11,2013,"Never",2013,1981,"No","Never","A few days a month","A few days a week","A few days a week","T4",3,2.666666667,1
"185",11,2013,"Never",2013,1981,"No","Never","A few days a month","A few days a week","A few days a week","T5",3,1,1
"186",11,2013,"Never",2013,1981,"No","Never","A few days a month","A few days a week","A few days a week","T6",1.333333333,2.333333333,1
"187",11,2013,"Never",2013,1981,"No","Never","A few days a month","A few days a week","A few days a week","T7",3,1,1
"188",11,2013,"Never",2013,1981,"No","Never","A few days a month","A few days a week","A few days a week","T8",2,1,1
"189",11,2013,"Never",2013,1981,"No","Never","A few days a month","A few days a week","A few days a week","T9",1,1,1
"190",11,2013,"Never",2013,1981,"No","Never","A few days a month","A few days a week","A few days a week","T10",1.666666667,1,1
"191",11,2013,"Never",2013,1981,"No","Never","A few days a month","A few days a week","A few days a week","T11",2,1,1
"192",11,2013,"Never",2013,1981,"No","Never","A few days a month","A few days a week","A few days a week","T12",2,1,1
"193",11,2013,"Never",2013,1981,"No","Never","A few days a month","A few days a week","A few days a week","T13",1,1,1
"194",11,2013,"Never",2013,1981,"No","Never","A few days a month","A few days a week","A few days a week","T14",1,1,1
"195",11,2013,"Never",2013,1981,"No","Never","A few days a month","A few days a week","A few days a week","T15",1,2,1
"196",11,2013,"Never",2013,1981,"No","Never","A few days a month","A few days a week","A few days a week","T16",2.333333333,1,1
"197",11,2013,"Never",2013,1981,"No","Never","A few days a month","A few days a week","A few days a week","T17",1,1,1
"198",11,2013,"Never",2013,1981,"No","Never","A few days a month","A few days a week","A few days a week","T18",2,1,1
"199",12,2014,"Never",1997,1978,"No","Never","A few days a week","Every day or almost every day","Every day or almost every day","T1",2,1,1
"200",12,2014,"Never",1997,1978,"No","Never","A few days a week","Every day or almost every day","Every day or almost every day","T2",1,1,1
"201",12,2014,"Never",1997,1978,"No","Never","A few days a week","Every day or almost every day","Every day or almost every day","T3",2,1,1
"202",12,2014,"Never",1997,1978,"No","Never","A few days a week","Every day or almost every day","Every day or almost every day","T4",2,1,1
"203",12,2014,"Never",1997,1978,"No","Never","A few days a week","Every day or almost every day","Every day or almost every day","T5",1,1,1
"204",12,2014,"Never",1997,1978,"No","Never","A few days a week","Every day or almost every day","Every day or almost every day","T6",1,1,1
"205",12,2014,"Never",1997,1978,"No","Never","A few days a week","Every day or almost every day","Every day or almost every day","T7",2,1,1
"206",12,2014,"Never",1997,1978,"No","Never","A few days a week","Every day or almost every day","Every day or almost every day","T8",1,1,1
"207",12,2014,"Never",1997,1978,"No","Never","A few days a week","Every day or almost every day","Every day or almost every day","T9",1,1,1
"208",12,2014,"Never",1997,1978,"No","Never","A few days a week","Every day or almost every day","Every day or almost every day","T10",1,1,1
"209",12,2014,"Never",1997,1978,"No","Never","A few days a week","Every day or almost every day","Every day or almost every day","T11",1.333333333,1.666666667,1
"210",12,2014,"Never",1997,1978,"No","Never","A few days a week","Every day or almost every day","Every day or almost every day","T12",1,1,1
"211",12,2014,"Never",1997,1978,"No","Never","A few days a week","Every day or almost every day","Every day or almost every day","T13",1,1.666666667,1
"212",12,2014,"Never",1997,1978,"No","Never","A few days a week","Every day or almost every day","Every day or almost every day","T14",NA,NA,NA
"213",12,2014,"Never",1997,1978,"No","Never","A few days a week","Every day or almost every day","Every day or almost every day","T15",2.333333333,2,1
"214",12,2014,"Never",1997,1978,"No","Never","A few days a week","Every day or almost every day","Every day or almost every day","T16",2,1,1
"215",12,2014,"Never",1997,1978,"No","Never","A few days a week","Every day or almost every day","Every day or almost every day","T17",1,1,1
"216",12,2014,"Never",1997,1978,"No","Never","A few days a week","Every day or almost every day","Every day or almost every day","T18",3,1,1
"217",13,2015,"Never",2009,1980,"No","Never","A few times a year or less","A few days a month","A few days a week","T1",2.333333333,2.666666667,1
"218",13,2015,"Never",2009,1980,"No","Never","A few times a year or less","A few days a month","A few days a week","T2",2.333333333,2,1
"219",13,2015,"Never",2009,1980,"No","Never","A few times a year or less","A few days a month","A few days a week","T3",1,1,1
"220",13,2015,"Never",2009,1980,"No","Never","A few times a year or less","A few days a month","A few days a week","T4",2,1,1
"221",13,2015,"Never",2009,1980,"No","Never","A few times a year or less","A few days a month","A few days a week","T5",1,1,1
"222",13,2015,"Never",2009,1980,"No","Never","A few times a year or less","A few days a month","A few days a week","T6",2.333333333,1.666666667,1
"223",13,2015,"Never",2009,1980,"No","Never","A few times a year or less","A few days a month","A few days a week","T7",2.333333333,1.333333333,1.333333333
"224",13,2015,"Never",2009,1980,"No","Never","A few times a year or less","A few days a month","A few days a week","T8",1,1,1
"225",13,2015,"Never",2009,1980,"No","Never","A few times a year or less","A few days a month","A few days a week","T9",1,2.333333333,1
"226",13,2015,"Never",2009,1980,"No","Never","A few times a year or less","A few days a month","A few days a week","T10",2,1,1
"227",13,2015,"Never",2009,1980,"No","Never","A few times a year or less","A few days a month","A few days a week","T11",3,2,1.666666667
"228",13,2015,"Never",2009,1980,"No","Never","A few times a year or less","A few days a month","A few days a week","T12",1,1.333333333,1
"229",13,2015,"Never",2009,1980,"No","Never","A few times a year or less","A few days a month","A few days a week","T13",2,3,1
"230",13,2015,"Never",2009,1980,"No","Never","A few times a year or less","A few days a month","A few days a week","T14",1,1,1
"231",13,2015,"Never",2009,1980,"No","Never","A few times a year or less","A few days a month","A few days a week","T15",2,1,1
"232",13,2015,"Never",2009,1980,"No","Never","A few times a year or less","A few days a month","A few days a week","T16",3,1,1
"233",13,2015,"Never",2009,1980,"No","Never","A few times a year or less","A few days a month","A few days a week","T17",1,1,1
"234",13,2015,"Never",2009,1980,"No","Never","A few times a year or less","A few days a month","A few days a week","T18",1,1,1
"235",14,2016,"A few days a month",1989,1972,"No","Never","A few times a year or less","A few times a year or less","A few days a month","T1",2,1,1
