"","id","ID","cycexp","G2_year","YOB","famfriends","cycling_test","walk_test","downtown_test","downtown_tor","traffic_type","turn_num","density"
"113",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","MV","T5",1.333333333
"114",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","MV","T6",1
"115",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","MV","T7",2
"116",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","MV","T8",1.666666667
"117",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","MV ","T9",1
"118",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","MV ","T10",NA
"119",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","MV","T11",NA
"120",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","MV","T12",NA
"121",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","MV","T13",NA
"122",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","MV","T14",NA
"123",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","MV","T15",NA
"124",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","MV","T16",NA
"125",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","MV","T17",NA
"126",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","MV","T18",NA
"127",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","PED","T1",1
"128",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","PED","T2",1
"129",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","PED","T3",1
"130",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","PED","T4",1
"131",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","PED","T5",1
"132",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","PED","T6",1
"133",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","PED","T7",1
"134",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","PED","T8",1
"135",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","PED","T9",1
"136",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","PED","T10",NA
"137",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","PED","T11",NA
"138",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","PED","T12",NA
"139",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","PED","T13",NA
"140",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","PED","T14",NA
"141",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","PED","T15",NA
"142",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","PED","T16",NA
"143",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","PED","T17",NA
"144",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","PED","T18",NA
"145",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","CYC","T1",1
"146",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","CYC","T2",1
"147",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","CYC","T3",1
"148",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","CYC","T4",1
"149",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","CYC","T5",1
"150",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","CYC","T6",1
"151",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","CYC","T7",1
"152",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","CYC","T8",1
"153",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","CYC","T9",1
"154",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","CYC","T10",NA
"155",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","CYC","T11",NA
"156",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","CYC","T12",NA
"157",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","CYC","T13",NA
"158",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","CYC","T14",NA
"159",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","CYC","T15",NA
"160",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","CYC","T16",NA
"161",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","CYC","T17",NA
"162",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","CYC","T18",NA
"163",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","MV","T1",1
"164",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","MV","T2",2
"165",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","MV"," T3",1
"166",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","MV","T4",1.333333333
"167",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","MV","T5",1
"168",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","MV","T6",1
"169",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","MV","T7",1.666666667
"170",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","MV","T8",1
"171",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","MV ","T9",1
"172",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","MV ","T10",1
"173",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","MV","T11",1
"174",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","MV","T12",1
"175",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","MV","T13",1
"176",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","MV","T14",1
"177",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","MV","T15",1
"178",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","MV","T16",1
"179",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","MV","T17",1
"180",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","MV","T18",2
"181",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","PED","T1",1
"182",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","PED","T2",1
"183",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","PED","T3",1
"184",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","PED","T4",1
"185",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","PED","T5",1
"186",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","PED","T6",1
"187",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","PED","T7",1
"188",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","PED","T8",1
"189",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","PED","T9",1
"190",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","PED","T10",1
"191",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","PED","T11",1
"192",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","PED","T12",1
"193",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","PED","T13",1
"194",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","PED","T14",1
"195",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","PED","T15",1
"196",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","PED","T16",1
"197",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","PED","T17",1
"198",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","PED","T18",1
"199",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","CYC","T1",1
"200",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","CYC","T2",1
"201",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","CYC","T3",1
"202",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","CYC","T4",1
"203",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","CYC","T5",1
"204",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","CYC","T6",1
"205",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","CYC","T7",1
"206",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","CYC","T8",1
"207",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","CYC","T9",1
"208",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","CYC","T10",1
"209",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","CYC","T11",1
"210",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","CYC","T12",1
"211",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","CYC","T13",1
"212",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","CYC","T14",1
"213",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","CYC","T15",1
"214",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","CYC","T16",1
"215",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","CYC","T17",1
"216",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","CYC","T18",1
"217",5,2007,"A few times or less",2003,1980,"No","Never","Never","A few times a year or less","A few days a month","MV","T1",1
"218",5,2007,"A few times or less",2003,1980,"No","Never","Never","A few times a year or less","A few days a month","MV","T2",1.666666667
"219",5,2007,"A few times or less",2003,1980,"No","Never","Never","A few times a year or less","A few days a month","MV"," T3",1
"220",5,2007,"A few times or less",2003,1980,"No","Never","Never","A few times a year or less","A few days a month","MV","T4",1
"221",5,2007,"A few times or less",2003,1980,"No","Never","Never","A few times a year or less","A few days a month","MV","T5",1
"222",5,2007,"A few times or less",2003,1980,"No","Never","Never","A few times a year or less","A few days a month","MV","T6",1
"223",5,2007,"A few times or less",2003,1980,"No","Never","Never","A few times a year or less","A few days a month","MV","T7",1
"224",5,2007,"A few times or less",2003,1980,"No","Never","Never","A few times a year or less","A few days a month","MV","T8",2.666666667
"225",5,2007,"A few times or less",2003,1980,"No","Never","Never","A few times a year or less","A few days a month","MV ","T9",1
"226",5,2007,"A few times or less",2003,1980,"No","Never","Never","A few times a year or less","A few days a month","MV ","T10",1
"227",5,2007,"A few times or less",2003,1980,"No","Never","Never","A few times a year or less","A few days a month","MV","T11",1
"228",5,2007,"A few times or less",2003,1980,"No","Never","Never","A few times a year or less","A few days a month","MV","T12",2
"229",5,2007,"A few times or less",2003,1980,"No","Never","Never","A few times a year or less","A few days a month","MV","T13",1
"230",5,2007,"A few times or less",2003,1980,"No","Never","Never","A few times a year or less","A few days a month","MV","T14",1
"231",5,2007,"A few times or less",2003,1980,"No","Never","Never","A few times a year or less","A few days a month","MV","T15",1.666666667
"232",5,2007,"A few times or less",2003,1980,"No","Never","Never","A few times a year or less","A few days a month","MV","T16",1
